"productCode (S)","cca (N)","discountAmount (N)","installationAmt (N)","partNumber (N)","product (S)","productName (S)","rcMinutes (N)","regularPrice (N)","replacementWarranty (N)","salesText (S)","totalWarranty (N)","tradeInCredit (N)","webPrice (N)"
"PF-75-5","550","0","14.99","7013007","PF","Interstate PowerFast","80","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-35","640","0","14.99","7031658","MTP","Mega-Tron Plus","100","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-56","590","0","14.99","7098558","MT","Mega-Tron II","95","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-51R-6","425","0","14.99","7013003","PF","Interstate PowerFast","75","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-78-5","550","0","14.99","7013009","PF","Interstate PowerFast","90","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-78DT","800","0","14.99","7098477","MTP","Mega-Tron Plus","110","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MTP-36R","650","0","14.99","7004238","MTP","Mega-Tron Plus","130","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-85","625","0","14.99","7009231","MT","Mega-Tron II","95","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-75DT-5","450","0","14.99","7013008","PF","Interstate PowerFast","75","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-26R-5","450","0","14.99","7012994","PF","Interstate PowerFast","85","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MT-24","600","0","14.99","7005422","MT","Mega-Tron II","110","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-75","650","0","14.99","7098639","MT","Mega-Tron II","93","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-86","525","0","14.99","7003905","MT","Mega-Tron II","90","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-51R","500","0","14.99","7031836","MT","Mega-Tron II","85","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-58R","610","0","14.99","7006620","MTP","Mega-Tron Plus","100","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-75V","600","0","14.99","7009236","MT","Mega-Tron II","90","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-34","700","0","14.99","7098507","MT","Mega-Tron II","120","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-35","550","0","14.99","7098515","MT","Mega-Tron II","100","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-49/H8-6","850","0","14.99","7013052","PF","Interstate PowerFast","150","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-24F-5","530","0","14.99","7012992","PF","Interstate PowerFast","95","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-34-6","685","0","14.99","7012996","PF","Interstate PowerFast","120","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-65-5","650","0","14.99","7013006","PF","Interstate PowerFast","130","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MT-MX-5","370","0","14.99","7006042","MT","Mega-Tron II","45","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
